family,alpha,lam_mem,sigma,beta,beta_r2,entropy_slope,entropy_r2,curvature_persistence,gate_beta,gate_entropy_slope,gate_entropy_r2,gate_curvature,gate_pass,score,k,p,s,lambda
scaled_exp,0.1,0.0,0.3,82.77578865763171,0.9739456057284093,1.271517678585904,0.0180355914118305,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.0,0.5,49.66547319440651,0.9739456057285226,0.7629106466549592,0.01803561519310928,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.0,0.7,35.4753379958861,0.9739456057286252,0.5449362112229164,0.01803565081103817,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.0,1.0,24.832736597001652,0.9739456057287629,0.3814553860601672,0.018035726351054333,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.0,1.5,16.55515773121241,0.9739456057289545,0.2543036164907417,0.018035910909393636,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.07071428571428572,0.3,82.04587852688526,0.9752621400855558,0.8898349630121523,0.012890814547369215,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.07071428571428572,0.5,49.22752711595907,0.9752621400856603,0.5339018286295655,0.012890822373366436,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.07071428571428572,0.7,35.162519368424064,0.9752621400857592,0.38135935424787104,0.012890834096591778,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.07071428571428572,1.0,24.61376355777864,0.9752621400858897,0.26695288231443065,0.012890858965063388,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.07071428571428572,1.5,16.409175705064214,0.9752621400860689,0.1779707363761318,0.01289091974397779,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.14142857142857143,0.3,80.89907680296953,0.9760312120888311,1.7732707420388019,0.014536477667993724,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.14142857142857143,0.5,48.53944608161047,0.9760312120889346,1.0639625506794455,0.014536483925825466,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.14142857142857143,0.7,34.67103291531844,0.9760312120890285,0.7599733536479789,0.0145364932316522,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.14142857142857143,1.0,24.26972304060536,0.976031212089155,0.5319814822392035,0.014536512785400857,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.14142857142857143,1.5,16.179815360282806,0.9760312120893296,0.3546544921875074,0.014536559836740931,1.0,0.0,0.3333333333333333,0.0,1.0,False,0.3333333333333333,,,,
scaled_exp,0.1,0.21214285714285713,0.3,79.37645825900172,0.9751236585854813,1.2341722648493496,0.006665014091857707,1.0,0.0,0.0,0.0,1.0,False,0.25,,,,
scaled_exp,0.1,0.21214285714285713,0.5,47.62587495523125,0.9751236585855869,0.7405040907712547,0.00666502656812669,1.0,0.0,0.0,0.0,1.0,False,0.25,,,,
scaled_exp,0.1,0.21214285714285713,0.7,34.01848211076298,0.975123658585685,0.528932270258272,0.006665045184999218,1.0,0.0,0.0,0.0,1.0,False,0.25,,,,
scaled_exp,0.1,0.21214285714285713,1.0,23.812937477417673,0.9751236585858144,0.3702537308021401,0.006665084479070892,1.0,0.0,0.0,0.0,1.0,False,0.25,,,,
scaled_exp,0.1,0.21214285714285713,1.5,15.875291651492285,0.9751236585859914,0.24683764915299733,0.006665179731518923,1.0,0.0,0.0,0.0,1.0,False,0.25,,,,
scaled_exp,0.1,0.28285714285714286,0.3,77.62319400874863,0.9720053098363953,-0.4746497008141764,0.00452000372405576,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.28285714285714286,0.5,46.57391640508098,0.9720053098365061,-0.2847911026241176,0.00452000952095036,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.28285714285714286,0.7,33.2670831463711,0.97200530983661,-0.2034236003910556,0.004520018268989004,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.28285714285714286,1.0,23.286958202344554,0.9720053098367433,-0.14239859938873273,0.0045200370026459305,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.28285714285714286,1.5,15.524638801444958,0.9720053098369316,-0.09493584960058936,0.004520083488669335,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.3535714285714286,0.3,75.95798481908072,0.9696820882749221,-0.6062685332675536,0.006813337725783734,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.3535714285714286,0.5,45.574790891280465,0.9696820882750355,-0.363761891310868,0.006813335379452681,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
scaled_exp,0.1,0.3535714285714286,0.7,32.55342206508517,0.9696820882751371,-0.2598307554024479,0.0068133319573521756,1.0,0.0,0.6666666666666666,0.0,1.0,False,0.4166666666666667,,,,
