topology,N,seed,kfile,src,file,gap_mean,gap_std,gap_cv,gap_min,gap_max,gap_max_over_min,band_lo,band_hi,band_len
ring,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N512_g30_k48.npz,0.009183198804373712,0.011390586190455094,1.2403723836437106,1.3010426069826053e-16,0.03374827326103774,259394066573324.38,1,47,47
ring,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N512_g31_k48.npz,0.009183198804373639,0.011390586190455057,1.2403723836437164,1.3704315460216776e-16,0.03374827326103741,246260189784799.2,1,47,47
rr,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N1024_g30_k48.npz,0.007860779572225848,0.004605685612319407,0.5859069790727215,6.200122514499196e-05,0.020878693890508337,336.74647302021543,1,47,47
rr,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N1024_g31_k48.npz,0.007719945315859625,0.003940238189778775,0.5103971632654013,0.0004676575965146812,0.015526823690046654,33.20126478381544,1,47,47
rr,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N2048_g30_k48.npz,0.004524734501350812,0.0026732221367215983,0.5908019875914345,0.0005793413837618111,0.012948059561895375,22.349619628103085,1,47,47
rr,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N2048_g31_k48.npz,0.004017148765132647,0.0022659378088945407,0.5640661925597666,0.0011269403981301052,0.01021343176295797,9.062974208666917,1,47,47
rr,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N256_g30_k48.npz,0.025768196897586713,0.01343580407423763,0.5214103310230427,0.0032176286690499545,0.06718887760338366,20.88148898276134,1,47,47
rr,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N256_g31_k48.npz,0.025493900969997214,0.01247921435934196,0.4894980322559605,0.004189393075387349,0.0615420881916402,14.68997706450595,1,47,47
rr,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N4096_g30_k48.npz,0.002611051074240956,0.001473200521441567,0.5642174279834158,0.00035672255691221455,0.007647658378839295,21.438673362955566,1,47,47
rr,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N4096_g31_k48.npz,0.002683198862943031,0.0016928454783955282,0.6309057080244709,0.0004939347728804,0.009607257021130633,19.45045691985915,1,47,47
sbm2,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N1024_g30_k48.npz,0.007899731317825759,0.006667324248868778,0.8439937993617515,0.0004345062927071375,0.03214166501193544,73.97284124858305,1,47,47
sbm2,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N1024_g31_k48.npz,0.008029523872921607,0.008282422213540905,1.031496056879806,0.0002496807320067074,0.04810934275841247,192.68344165668367,1,47,47
sbm2,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N2048_g30_k48.npz,0.006819086985615387,0.009573411137556165,1.4039139195248458,0.0002800918829591881,0.052564392754018446,187.66839009639403,1,47,47
sbm2,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N2048_g31_k48.npz,0.005487739663690544,0.004559130193101327,0.8307847078218138,0.0005305579594494514,0.019467262016164055,36.69205535313204,1,47,47
sbm2,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N256_g30_k48.npz,0.022194123358646855,0.016397411248066047,0.7388177033664003,0.001344394449399433,0.07812313042089306,58.11027444794358,1,47,47
sbm2,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N256_g31_k48.npz,0.022804875511710402,0.013564707487684298,0.5948161164360999,0.005264543870207694,0.072235776548557,13.721184271507875,1,47,47
sbm2,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N4096_g30_k48.npz,0.005384542474293075,0.005359882883293851,0.9954202996601932,0.0007027066022056716,0.02784520559813705,39.62564961071361,1,47,47
sbm2,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N4096_g31_k48.npz,0.0037952764914414632,0.003870556943328922,1.0198353010794392,0.00020122008977419004,0.02187908829962315,108.73212671844023,1,47,47
sbm2,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N512_g30_k48.npz,0.011220809964534412,0.007913708652194448,0.7052707137191778,0.0008257110080860386,0.04171100761865776,50.515261647464314,1,47,47
sbm2,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N512_g31_k48.npz,0.01282409607693555,0.014152824561627853,1.103611862911886,0.0005086044787785959,0.08756852957117062,172.17412198466045,1,47,47
ws,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N1024_g30_k48.npz,0.0037420247729966047,0.0018826246191867523,0.5031031950328728,0.0013447530397536628,0.010307503539590535,7.664978798991006,1,47,47
ws,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N1024_g31_k48.npz,0.00404722548028225,0.002121126185086734,0.524093899739633,0.0006927971782808295,0.00892486318948521,12.882360767738957,1,47,47
ws,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N2048_g30_k48.npz,0.0015785920136895217,0.0008316949459439997,0.5268587061961266,0.0002656513351555062,0.004166947739074181,15.685777512222723,1,47,47
ws,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N2048_g31_k48.npz,0.0016844350751617381,0.0008981619147124194,0.5332125458300484,0.00014902313420559615,0.004160234515757248,27.916702584027533,1,47,47
ws,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N256_g30_k48.npz,0.032362566661132026,0.02093543415447766,0.6469027742358106,0.0018439892600815855,0.08821010262038498,47.836559859617736,1,47,47
ws,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N256_g31_k48.npz,0.03415204517264153,0.02615610319721845,0.765872235908482,0.0017561892509133925,0.12886684218937217,73.37867608650299,1,47,47
ws,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N4096_g30_k48.npz,0.000805894765080773,0.000473139986354897,0.5870989698108726,0.00014244207581000368,0.002531163937257802,17.769777103178377,1,47,47
ws,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N4096_g31_k48.npz,0.0009479641236236976,0.0005889208578119474,0.6212480442410968,0.00020418083097414885,0.0029414167089201956,14.405939553123895,1,47,47
ws,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N512_g30_k48.npz,0.010150532927742545,0.006623446040781358,0.6525219993798294,0.0007600963097402769,0.03355216988708459,44.14199813514328,1,47,47
ws,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ws_N512_g31_k48.npz,0.010227764422369065,0.006311565246326174,0.617101155803139,0.0008718075488171606,0.027211779284628645,31.21305765423651,1,47,47
rr,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_rr_N512_k48\eigs_rr_N512_g30_k48.npz,0.013844242296427434,0.007607222179545189,0.549486350835413,0.0034670334090421973,0.03842729322648142,11.08362357462755,1,47,47
rr,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_rr_N512_k48\eigs_rr_N512_g31_k48.npz,0.013830989343988962,0.007363357691946614,0.5323811268169891,0.0015216611662569601,0.033286642032715696,21.87519979536275,1,47,47
grid2d_periodic,1024,0,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g0_k48.npz,0.01189906518333404,0.029442901285610237,2.4743877634058418,0.0,0.11381149578388311,,1,47,47
grid2d_periodic,1024,10,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g10_k48.npz,0.01189906518333415,0.029442901285610744,2.4743877634058613,5.551115123125783e-17,0.11381149578388514,2050245640011135.5,1,47,47
grid2d_periodic,1024,11,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g11_k48.npz,0.011899065183334081,0.029442901285611264,2.4743877634059195,5.551115123125783e-17,0.1138114957838832,2050245640011100.5,1,47,47
grid2d_periodic,1024,12,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g12_k48.npz,0.01189906518333408,0.029442901285611008,2.474387763405898,0.0,0.11381149578388483,,1,47,47
grid2d_periodic,1024,13,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g13_k48.npz,0.0118990651833341,0.029442901285611008,2.474387763405894,0.0,0.11381149578388575,,1,47,47
grid2d_periodic,1024,14,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g14_k48.npz,0.011899065183334057,0.029442901285610716,2.4743877634058786,5.551115123125783e-17,0.1138114957838833,2050245640011102.5,1,47,47
grid2d_periodic,1024,15,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g15_k48.npz,0.011899065183334143,0.029442901285611313,2.4743877634059106,0.0,0.1138114957838845,,1,47,47
grid2d_periodic,1024,16,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g16_k48.npz,0.01189906518333405,0.029442901285610664,2.4743877634058755,4.163336342344337e-17,0.11381149578388206,2733660853348106.5,1,47,47
grid2d_periodic,1024,17,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g17_k48.npz,0.011899065183334055,0.029442901285611098,2.474387763405911,0.0,0.11381149578388566,,1,47,47
grid2d_periodic,1024,18,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g18_k48.npz,0.011899065183334117,0.029442901285610456,2.474387763405844,0.0,0.11381149578388261,,1,47,47
grid2d_periodic,1024,19,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g19_k48.npz,0.01189906518333409,0.02944290128561133,2.4743877634059235,8.326672684688674e-17,0.11381149578388344,1366830426674070.0,1,47,47
grid2d_periodic,1024,1,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g1_k48.npz,0.011899065183334117,0.02944290128561117,2.474387763405904,2.7755575615628914e-17,0.11381149578388627,4100491280022312.0,1,47,47
grid2d_periodic,1024,20,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g20_k48.npz,0.011899065183334136,0.029442901285610775,2.474387763405867,5.551115123125783e-17,0.11381149578388272,2050245640011092.0,1,47,47
grid2d_periodic,1024,21,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g21_k48.npz,0.01189906518333411,0.029442901285611018,2.474387763405893,5.551115123125783e-17,0.11381149578388475,2050245640011128.5,1,47,47
grid2d_periodic,1024,22,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g22_k48.npz,0.01189906518333409,0.029442901285610806,2.474387763405879,2.7755575615628914e-17,0.11381149578388502,4100491280022267.0,1,47,47
grid2d_periodic,1024,23,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g23_k48.npz,0.01189906518333409,0.029442901285610886,2.4743877634058857,0.0,0.1138114957838833,,1,47,47
grid2d_periodic,1024,24,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g24_k48.npz,0.011899065183334154,0.029442901285610695,2.4743877634058564,0.0,0.11381149578388533,,1,47,47
grid2d_periodic,1024,25,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g25_k48.npz,0.011899065183334107,0.029442901285610355,2.4743877634058378,5.551115123125783e-17,0.11381149578388308,2050245640011098.5,1,47,47
grid2d_periodic,1024,26,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g26_k48.npz,0.01189906518333407,0.029442901285610945,2.474387763405895,0.0,0.11381149578388355,,1,47,47
grid2d_periodic,1024,27,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g27_k48.npz,0.011899065183334166,0.029442901285611008,2.4743877634058804,0.0,0.11381149578388361,,1,47,47
grid2d_periodic,1024,28,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g28_k48.npz,0.011899065183334098,0.029442901285611313,2.47438776340592,5.551115123125783e-17,0.11381149578388422,2050245640011119.0,1,47,47
grid2d_periodic,1024,29,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g29_k48.npz,0.01189906518333416,0.029442901285611035,2.4743877634058835,2.7755575615628914e-17,0.11381149578388614,4100491280022307.0,1,47,47
grid2d_periodic,1024,2,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g2_k48.npz,0.011899065183334138,0.029442901285610945,2.474387763405881,0.0,0.1138114957838853,,1,47,47
grid2d_periodic,1024,3,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g3_k48.npz,0.011899065183334069,0.029442901285610817,2.4743877634058844,3.469446951953614e-17,0.11381149578388294,3280393024017753.5,1,47,47
grid2d_periodic,1024,4,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g4_k48.npz,0.0118990651833341,0.02944290128561135,2.474387763405923,8.326672684688674e-17,0.11381149578388489,1366830426674087.2,1,47,47
grid2d_periodic,1024,5,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g5_k48.npz,0.011899065183334143,0.029442901285611143,2.4743877634058964,0.0,0.11381149578388292,,1,47,47
grid2d_periodic,1024,6,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g6_k48.npz,0.011899065183334136,0.029442901285611132,2.474387763405897,2.7755575615628914e-17,0.11381149578388311,4100491280022198.0,1,47,47
grid2d_periodic,1024,7,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g7_k48.npz,0.011899065183334142,0.029442901285610855,2.4743877634058724,5.551115123125783e-17,0.11381149578388586,2050245640011148.5,1,47,47
grid2d_periodic,1024,8,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g8_k48.npz,0.011899065183334131,0.02944290128561097,2.4743877634058844,7.632783294297951e-17,0.11381149578388303,1491087738189889.0,1,47,47
grid2d_periodic,1024,9,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N1024_g9_k48.npz,0.011899065183334145,0.029442901285611188,2.4743877634059,0.0,0.1138114957838832,,1,47,47
grid2d_periodic,2048,0,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g0_k48.npz,0.011899065183334102,0.029442901285610796,2.474387763405876,2.220446049250313e-16,0.11381149578388591,512561410002787.4,1,47,47
grid2d_periodic,2048,10,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g10_k48.npz,0.011899065183334043,0.029442901285610692,2.4743877634058795,8.326672684688674e-17,0.11381149578388308,1366830426674065.8,1,47,47
grid2d_periodic,2048,11,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g11_k48.npz,0.011899065183334112,0.029442901285611077,2.4743877634058973,0.0,0.11381149578388147,,1,47,47
grid2d_periodic,2048,12,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g12_k48.npz,0.011899065183334187,0.02944290128561125,2.4743877634058964,0.0,0.11381149578388261,,1,47,47
grid2d_periodic,2048,13,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g13_k48.npz,0.011899065183334044,0.029442901285611004,2.4743877634059053,2.7755575615628914e-17,0.11381149578388461,4100491280022252.0,1,47,47
grid2d_periodic,2048,14,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g14_k48.npz,0.01189906518333407,0.02944290128561127,2.474387763405922,0.0,0.11381149578388261,,1,47,47
grid2d_periodic,2048,15,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\eigs_grid2d_periodic_N2048_g15_k48.npz,0.011899065183334095,0.029442901285610994,2.4743877634058937,0.0,0.11381149578388508,,1,47,47
