topology,model,n,r2,a,a_se,b_logN,b_logN_se,c_logE,c_logE_se,d_logNlogE,d_logNlogE_se
grid2d_periodic,no_cross,30,0.7502836597996707,0.9302847197798761,0.15970311142272156,-0.08981547963872208,0.018053855229942,0.04593743171511324,0.008189137141107831,,
grid2d_periodic,with_cross,30,0.8744375823067455,2.0428652559394296,0.3465986553780624,-0.23573497255753764,0.04452288978170012,0.3645854898865149,0.09395641002437591,-0.04179199757388902,0.011990849460084742
rr,no_cross,30,0.6940583214053468,0.07597020406987005,0.02133273759641143,-0.005310525779463294,0.002414771618698425,0.00692739307193181,0.0011635598731935387,,
rr,with_cross,30,0.737962570731532,0.16163559579376957,0.06354955348006888,-0.016545892671816033,0.008067040150330407,0.031462345678183776,0.017045748337926867,-0.0032178594957714053,0.002163320255842178
