model,n_rows,r2,beta_intercept,beta_med_intercept,beta_lo_intercept,beta_hi_intercept,beta_logN,beta_med_logN,beta_lo_logN,beta_hi_logN,beta_probe_eps,beta_med_probe_eps,beta_lo_probe_eps,beta_hi_probe_eps,beta_topo_is_alt,beta_med_topo_is_alt,beta_lo_topo_is_alt,beta_hi_topo_is_alt,beta_gap_cv,beta_med_gap_cv,beta_lo_gap_cv,beta_hi_gap_cv,beta_gap_cv_x_alt,beta_med_gap_cv_x_alt,beta_lo_gap_cv_x_alt,beta_hi_gap_cv_x_alt
M0_logY~1+controls,1800,0.34551160391957403,-1.8228657769576213,-1.81202260936272,-3.2084216752274015,-0.3762109283352951,-0.7663107827728275,-0.7674596984150592,-0.9501888409885074,-0.5873417898046712,20.18259701530835,20.17604090591756,18.685626348112912,21.72925990576938,1.6590354721668474,1.660959987970057,1.4553616478836349,1.8605164143713002,,,,,,,,
M1_logY~1+controls+gap_cv,1800,0.3456098609906988,-1.972789570507012,-1.9711348468014405,-3.427704853889164,-0.5126530325420421,-0.7754743050421051,-0.7771537068642143,-0.9677610903412983,-0.5910465245966254,20.182597015308318,20.172532783085778,18.690743298656827,21.726862086275606,1.0216740565235396,0.9778768680464107,-1.0177577321828846,3.0614086626829304,0.3462408171583489,0.36541934522823716,-0.764168472581418,1.4525196842422505,,,,
M2_logY~1+controls+gapcv+gapcv_x_grid,1800,0.35509562796678185,-4.511074119918358,-4.518127140093977,-6.1448492681004385,-2.905828145512402,-0.4048818259647911,-0.4042148480473747,-0.6155136248721133,-0.19320146022950482,20.182597015308225,20.17587677958381,18.702579836290322,21.72142492324865,678.9995395366346,678.8469292470352,438.2723464192231,941.1091424819464,-0.10641179543007435,-0.07073204578791695,-1.2264957476833798,1.0030958762589282,-273.5275377353356,-273.3361168743327,-379.3754449562118,-176.41007968743017
