probe_dir_mode,probe_mode,probe_eps,n_rows,corr,x_mean,y_mean
fiedler,add_to_dx,0.002,30,0.9841393088699705,1.5551975404425478,-8.948468185973745
fiedler,add_to_dx,0.005,30,0.9739866268875156,1.5551975404425478,-8.088955936733539
fiedler,add_to_dx,0.01,30,0.9544527410942272,1.5551975404425478,-7.431932498191044
fiedler,add_to_dx,0.02,30,0.9171769534780552,1.5551975404425478,-6.575299546830942
fiedler,add_to_dx,0.035,30,0.9301960095492146,1.5551975404425478,-6.025142052618967
fiedler,add_to_dx,0.05,30,0.9195903309936078,1.5551975404425478,-5.737852751527656
fiedler,add_to_dx,0.07,30,0.9170332192785835,1.5551975404425478,-5.43351441378957
fiedler,add_to_dx,0.1,30,0.9335608800600006,1.5551975404425478,-5.06741075035634
fiedler,add_to_dx,0.14,30,0.9150970640885062,1.5551975404425478,-4.764335587680869
fiedler,add_to_dx,0.2,30,0.913738696462,1.5551975404425478,-4.406458934224955
fiedler,add_to_x,0.002,30,0.9254829147505401,1.5551975404425478,-5.923083293866101
fiedler,add_to_x,0.005,30,0.9335608800600032,1.5551975404425478,-5.067410750356326
fiedler,add_to_x,0.01,30,0.9137386964620121,1.5551975404425478,-4.406458934224911
fiedler,add_to_x,0.02,30,0.7967522598364578,1.5551975404425478,-3.9083436541741388
fiedler,add_to_x,0.035,30,0.8839313048112319,1.5551975404425478,-3.146145163042306
fiedler,add_to_x,0.05,30,0.9238611637507069,1.5551975404425478,-2.647651084080925
fiedler,add_to_x,0.07,30,0.9243288137512279,1.5551975404425478,-2.317154686631288
fiedler,add_to_x,0.1,30,0.9219958960909275,1.5551975404425478,-2.03712757728128
fiedler,add_to_x,0.14,30,0.9146130226403432,1.5551975404425478,-1.7873953793000061
fiedler,add_to_x,0.2,30,0.9062759551438492,1.5551975404425478,-1.5314277875494686
random,add_to_dx,0.002,30,-0.0008632358954594872,1.5551975404425478,-11.314777598357882
random,add_to_dx,0.005,30,-0.04310298183187659,1.5551975404425478,-10.424359181287894
random,add_to_dx,0.01,30,-0.11575278879836297,1.5551975404425478,-9.823276195731388
random,add_to_dx,0.02,30,-0.1495285388676963,1.5551975404425478,-9.153908713730686
random,add_to_dx,0.035,30,-0.041173825970823134,1.5551975404425478,-8.420588763661597
random,add_to_dx,0.05,30,-0.005548650272422511,1.5551975404425478,-8.026113454662362
random,add_to_dx,0.07,30,-0.010490590630703575,1.5551975404425478,-7.685239854533571
random,add_to_dx,0.1,30,-0.12923713710054738,1.5551975404425478,-7.445676223193615
random,add_to_dx,0.14,30,-0.11016611945042194,1.5551975404425478,-7.10089611197167
random,add_to_dx,0.2,30,0.279023787698495,1.5551975404425478,-6.333912707542099
random,add_to_x,0.002,30,-0.024555905917753917,1.5551975404425478,-8.268922363068206
random,add_to_x,0.005,30,-0.12923713710054738,1.5551975404425478,-7.445676223193615
random,add_to_x,0.01,30,0.279023787698441,1.5551975404425478,-6.333912707542154
random,add_to_x,0.02,30,0.4762327504796782,1.5551975404425478,-5.500994911789726
random,add_to_x,0.035,30,0.5837888000348009,1.5551975404425478,-4.846369888522036
random,add_to_x,0.05,30,0.5694376885980907,1.5551975404425478,-4.526973083615413
random,add_to_x,0.07,30,0.544156719944647,1.5551975404425478,-4.226063035384995
random,add_to_x,0.1,30,0.35671017069664,1.5551975404425478,-3.9920717323431103
random,add_to_x,0.14,30,0.25307976606546567,1.5551975404425478,-3.6876281776693203
random,add_to_x,0.2,30,0.06443759255923735,1.5551975404425478,-3.430602189143734
smooth,add_to_dx,0.002,30,0.956078137182787,1.5551975404425478,-9.318368086557673
smooth,add_to_dx,0.005,30,0.8736093372526674,1.5551975404425478,-8.503885769950447
smooth,add_to_dx,0.01,30,0.6077990440623376,1.5551975404425478,-8.030394351825775
smooth,add_to_dx,0.02,30,0.6912521012707478,1.5551975404425478,-7.122493972384049
smooth,add_to_dx,0.035,30,0.7874836301947012,1.5551975404425478,-6.3662634758096575
smooth,add_to_dx,0.05,30,0.8393067245258556,1.5551975404425478,-5.929682882771915
smooth,add_to_dx,0.07,30,0.8800698091726482,1.5551975404425478,-5.560224541984275
smooth,add_to_dx,0.1,30,0.8867180102373787,1.5551975404425478,-5.23843311868774
smooth,add_to_dx,0.14,30,0.8930096987165118,1.5551975404425478,-4.939163118387671
smooth,add_to_dx,0.2,30,0.8343464172882555,1.5551975404425478,-4.651809246211211
smooth,add_to_x,0.002,30,0.8047790995743221,1.5551975404425478,-6.211284476875045
smooth,add_to_x,0.005,30,0.8867180102373665,1.5551975404425478,-5.2384331186877
smooth,add_to_x,0.01,30,0.834346417288287,1.5551975404425478,-4.651809246211176
smooth,add_to_x,0.02,30,0.5880748743106642,1.5551975404425478,-4.130601970965864
smooth,add_to_x,0.035,30,0.7087823493744576,1.5551975404425478,-3.4169125728788994
smooth,add_to_x,0.05,30,0.8336947543873573,1.5551975404425478,-2.896654065387065
smooth,add_to_x,0.07,30,0.8641279099370728,1.5551975404425478,-2.535237183790372
smooth,add_to_x,0.1,30,0.8905384516125374,1.5551975404425478,-2.1774658058188834
smooth,add_to_x,0.14,30,0.901784141382946,1.5551975404425478,-1.885013064896179
smooth,add_to_x,0.2,30,0.9070806513332587,1.5551975404425478,-1.5944770326444826
