topology,N,graph_seed,probe_eps,probe_dir_mode,probe_mode,score_mean,pmir_seeds,censored_frac,score_std,collapse_metric,logN,gap_cv,gap_mean,gap_std,gap_ratio_safe
grid2d_periodic,1024,0,0.002,fiedler,add_to_dx,0.000579636976828,30,0.1333333333333333,0.0014869930023567,0.000579636976828,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.002,fiedler,add_to_x,0.0327300030083457,30,0.1,0.0880021640837221,0.0327300030083457,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.002,random,add_to_dx,-1.7438509618813503e-06,30,0.2333333333333333,0.0001829592222547,1.7438509618813503e-06,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.002,random,add_to_x,7.880160680672513e-05,30,0.2,0.0035791443153749,7.880160680672513e-05,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.002,smooth,add_to_dx,0.000329000396312,30,0.2333333333333333,0.0013843506802352,0.000329000396312,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.002,smooth,add_to_x,0.0181065501139962,30,0.3,0.0619962637667982,0.0181065501139962,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,fiedler,add_to_dx,0.0015814217947741,30,0.1333333333333333,0.0038426198554596,0.0015814217947741,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,fiedler,add_to_x,0.0592020192740384,30,0.2,0.1128292534497921,0.0592020192740384,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,random,add_to_dx,-3.402818073595272e-06,30,0.2333333333333333,0.0004561042495999,3.402818073595272e-06,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,random,add_to_x,0.0007976309122749,30,0.2,0.0097438927490902,0.0007976309122749,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,smooth,add_to_dx,0.0009286652629122,30,0.2333333333333333,0.0035945638606933,0.0009286652629122,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.005,smooth,add_to_x,0.0383640285561396,30,0.3666666666666666,0.1172026520052164,0.0383640285561396,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,fiedler,add_to_dx,0.0036392274894876,30,0.1333333333333333,0.0085847949112083,0.0036392274894876,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,fiedler,add_to_x,0.0960185299462458,30,0.3,0.2037162402847878,0.0960185299462458,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,random,add_to_dx,-3.472817475168509e-06,30,0.2333333333333333,0.0009079997764889,3.472817475168509e-06,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,random,add_to_x,0.0072362952861159,30,0.1666666666666666,0.0433110216111571,0.0072362952861159,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,smooth,add_to_dx,0.0021504612309687,30,0.2333333333333333,0.0076563739339177,0.0021504612309687,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.01,smooth,add_to_x,0.0763490683430467,30,0.2666666666666666,0.182993544858984,0.0763490683430467,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.02,fiedler,add_to_dx,0.0199627631462564,30,0.1333333333333333,0.0612908253950947,0.0199627631462564,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.02,fiedler,add_to_x,0.2178711121814766,30,0.4666666666666667,0.3155477874782954,0.2178711121814766,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.02,random,add_to_dx,7.305357532791343e-06,30,0.2,0.0018011316824409,7.305357532791343e-06,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.02,random,add_to_x,0.011596993934023,30,0.1333333333333333,0.0611344817186266,0.011596993934023,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
grid2d_periodic,1024,0,0.02,smooth,add_to_dx,0.0055281174036702,30,0.2666666666666666,0.0186455231514388,0.0055281174036702,6.931471805599453,2.4743877634058418,0.011899065183334,0.0294429012856102,11381149578388.31
